











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
4557,0,0,-118.1937398,34.1448947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.867688235597399,0.391280406214,0,0,72.11076296925782,0,0,0,7.867688235597399,0.0,0.391280406214,7.0,0.15735376471194798,0,0.0,0.0,0,0,0,0,0,0,39.128040621400004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5810,0,0,-117.7026627,34.0686206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.102764305519973,0.00983755665164,0,0,57.1307425129764,0,0,0,5.102764305519973,0.0,0.00983755665164,10.0,0.10205528611039948,0,0.0,0.0,0,0,0,0,0,0,0.9837556651639999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887,0,0,-118.2684067,33.9505972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.109644973541208,0.0091053018419,0,0,69.90446627896743,0,0,0,15.109644973541208,0.0,0.0091053018419,4.0,0.3021928994708242,0,0.0,0.0,0,0,0,0,0,0,0.9105301841900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5060,0,0,-118.5571473,34.1839976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.784022605012858,0.426887766114,0,0,54.15767630387446,0,0,0,25.784022605012858,0.0,0.426887766114,2.0,0.5156804521002571,0,0.0,0.0,0,0,0,0,0,0,42.688776611399994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5843,0,0,-117.6327927,33.8827049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3192245798579587,0.0744458918444,0,0,77.44952634599306,0,0,0,2.3192245798579587,0.0,0.0744458918444,22.0,0.046384491597159176,0,0.0,0.0,0,0,0,0,0,0,7.44458918444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4896,0,0,-118.012625,34.0919125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5668855631298584,0.0362429910098,0,0,50.95393217486037,0,0,0,3.5668855631298584,0.0,0.0362429910098,15.0,0.07133771126259716,0,0.0,0.0,0,0,0,0,0,0,3.6242991009800005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,0,0,-118.3574476,34.0681451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83714749421335,0.529430966578,0,0,82.81364707985529,0,0,0,16.83714749421335,0.0,0.529430966578,3.0,0.336742949884267,0,0.0,0.0,0,0,0,0,0,0,52.943096657800005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,-118.3810667,34.1813386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.980740735411707,0.0448051093076,0,0,71.39493817006993,0,0,0,16.980740735411707,0.0,0.0448051093076,3.0,0.3396148147082341,0,0.0,0.0,0,0,0,0,0,0,4.4805109307599995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5767,0,0,-117.6561426,34.1389297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.214029020670947,0.30412677603,0,0,62.40447030462773,0,0,0,7.214029020670947,0.0,0.30412677603,7.0,0.14428058041341893,0,0.0,0.0,0,0,0,0,0,0,30.412677603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3450,0,0,-118.1385531,33.9609962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.632449574022184,0.0825600107608,0,0,54.90522163661164,0,0,0,8.632449574022184,0.0,0.0825600107608,6.0,0.1726489914804437,0,0.0,0.0,0,0,0,0,0,0,8.25600107608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,0,0,-118.0641644,33.9807539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.789575960122399,0.0594009023772,0,0,69.66743803683649,0,0,0,4.789575960122399,0.0,0.0594009023772,11.0,0.09579151920244798,0,0.0,0.0,0,0,0,0,0,0,5.94009023772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,-117.7781738,33.9293643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11543140747305856,0.1927038516794,0,0,57.29899772612131,0,0,0,0.11543140747305856,0.0,0.1927038516794,434.0,0.0023086281494611714,0,0.0,0.0,0,0,0,0,0,0,19.27038516794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4860,0,0,-118.5437101,34.3940323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.236772753444864,0.1188339058304,0,0,70.90732965372248,0,0,0,22.236772753444864,0.0,0.1188339058304,3.0,0.4447354550688973,0,0.0,0.0,0,0,0,0,0,0,11.88339058304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4956,0,0,-118.1100284,34.0665097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.777521005159576,0.0359695012818,0,0,55.726567795496216,0,0,0,6.777521005159576,0.0,0.0359695012818,8.0,0.13555042010319152,0,0.0,0.0,0,0,0,0,0,0,3.59695012818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161,0,0,-118.4013999,34.2785411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.258909732263895,0.1586775198654,0,0,54.90211796473986,0,0,0,18.258909732263895,0.0,0.1586775198654,3.0,0.3651781946452779,0,0.0,0.0,0,0,0,0,0,0,15.867751986539998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,0,0,-117.8802815,34.097729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5684785289185426,0.0875424511766,0,0,65.3373599146331,0,0,0,2.5684785289185426,0.0,0.0875424511766,20.0,0.05136957057837085,0,0.0,0.0,0,0,0,0,0,0,8.75424511766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,0,0,-118.1968235,34.6639631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0593290150187513,0.0255173424242,0,0,36.69465748674734,0,0,0,1.0593290150187513,0.0,0.0255173424242,48.0,0.021186580300375027,0,0.0,0.0,0,0,0,0,0,0,2.55173424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,0,0,-118.2362466,34.227659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.776185147108997,0.365144504772,0,0,69.86490373842047,0,0,0,9.776185147108997,0.0,0.365144504772,6.0,0.19552370294217994,0,0.0,0.0,0,0,0,0,0,0,36.5144504772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,0,0,-118.3761122,33.9096613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.784448069469867,0.47093835217,0,0,58.34213388208528,0,0,0,20.784448069469867,0.0,0.47093835217,3.0,0.41568896138939737,0,0.0,0.0,0,0,0,0,0,0,47.093835217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
