











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
334,0,0,-118.1761016,34.084545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.890531024198346,0.0240525248986,0,0,58.199045072277045,60.97914056504934,0,0,36.890531024198346,4.722696816507765,0.0240525248986,7.81132739566317,0.12801921483347345,1,0.12801921483347345,0.03480893401796333,0,0,0,86,0,0,2.40525248986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5851,0,0,-117.5509525,33.8755241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.68858202077433,0.0307441828486,0,0,64.73303413660973,58.45973072294876,0,0,32.68858202077433,2.2612108640828983,0.0307441828486,14.456228978906909,0.06917433318599896,1,0.06917433318599896,0.0010502686889525795,0,0,0,2,0,0,3.07441828486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3486,0,0,-118.199911,34.1114912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.364947780183876,0.0403028883938,0,0,68.98182060296375,62.48363854266738,0,0,35.364947780183876,2.9162844881294836,0.0403028883938,12.126713948565111,0.08246257017700369,1,0.08246257017700369,0.00202312487769875,0,0,0,4,0,0,4.03028883938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5335,0,0,-118.1613407,33.9692719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.46582383449321,0.00675911183552,0,0,56.73214646668287,57.35893182001459,0,0,34.46582383449321,3.9886318573731043,0.00675911183552,8.641014028602843,0.11572715848971825,1,0.11572715848971825,0.025297054591660928,0,0,0,63,0,0,0.6759111835520001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,0,0,-117.9294732,33.8807207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.45714375434751,0.348221609146,0,0,57.85731689284335,58.67158520355902,0,0,34.45714375434751,3.529342657610579,0.348221609146,9.76304856091121,0.10242702305136003,1,0.10242702305136003,0.030824376166058792,0,0,0,66,0,0,34.8221609146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,0,0,-118.3233707,33.8867036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.438418055036774,0.292814171224,0,0,53.94693296181188,52.95223966563069,0,0,28.438418055036774,1.116093143843769,0.292814171224,25.480326809549503,0.03924596444442858,1,0.03924596444442858,0.01877650840012425,0,0,0,44,0,0,29.2814171224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,0,0,-118.4810059,34.0745229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.889579177199813,0.846804575112,0,0,50.58235220332455,48.62411698299209,0,0,25.889579177199813,0.8168269339239638,0.846804575112,31.695305458193673,0.03155041371407532,1,0.03155041371407532,0.014890094024997472,0,0,0,31,0,0,84.6804575112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,0,0,-118.240061,34.2145759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.38926130557772,0.2131467422,0,0,68.81888151631668,68.73699336468502,0,0,44.38926130557772,8.896286786849538,0.2131467422,4.989639202188691,0.20041529246470424,1,0.20041529246470424,0.03402637236665798,0,0,0,68,0,0,21.31467422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5784,0,0,-117.6437577,34.0743204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.011431742063955,0.027795445519,0,0,73.8575403590441,72.87178632313969,0,0,43.011431742063955,5.656466576444612,0.027795445519,7.6039398732024175,0.13151077160988223,1,0.13151077160988223,0.026166006430800196,0,0,0,64,0,0,2.7795445519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,0,0,-118.1874782,33.9140766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.83642688207607,0.01892769088434,0,0,61.30324010920883,61.07291609828795,0,0,33.83642688207607,2.2331830825727366,0.01892769088434,15.151658252351993,0.06599937665864196,1,0.06599937665864196,0.023752168396670267,0,0,0,59,0,0,1.892769088434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
